action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,60,2000,3,8,83,823,1371,0.9991654101178464,7.583733432176052,0.007457507340849561,157.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,84,839,1398,0.9990105022723073,8.16231016542918,0.006645971511575383,159.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,85,839,1398,0.9992769477100261,7.951343939492951,0.024401927492479613,227.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,86,855,1425,0.9992375452633142,8.501082546529448,0.017982086362588395,166.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,87,853,1421,0.9986889711135553,8.785779356395718,0.0045918544859291695,164.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,88,873,1454,0.9989515983964352,8.720778281450873,0.004343706851173494,163.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,89,863,1438,0.9993424581717487,9.02851143603677,0.003359914537943957,165.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,90,875,1457,0.999106164610325,9.402179806033663,0.00876657841646085,277.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,91,881,1468,0.9991332330104904,9.680481614695305,0.006054014311901876,180.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,92,870,1449,0.998910228843628,9.805553455649074,0.003891900789624522,165.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,93,880,1466,0.9990140621065796,10.114205149014136,0.0057007808924455,170.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,94,900,1500,0.9986251692103614,10.608981366615371,0.009260751656924486,259.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,95,912,1519,0.9982967127775377,10.740337907504763,0.007629056328410192,169.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,96,926,1542,0.998651835364618,10.772471020966865,0.012706648517492146,174.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,97,906,1509,0.9981791455268508,10.609747979222886,0.012558588874827258,168.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,98,921,1535,0.9982383904084068,10.781542964840472,0.003179279893724816,235.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,99,905,1507,0.9987074707392839,11.037554628844656,0.01613990615444474,174.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,100,898,1496,0.9948961753632837,12.77155551906679,0.018966581912188273,169.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2000,3,8,101,918,1529,0.9984355459314237,11.590382278419666,0.016000157319869094,171.5,True,0,1,ECMP,1,1,0
