Topology,Scenario,Offered UDP rate Mbps,Pre-failure throughput Mbps,Post-recovery throughput Mbps,Pre-failure RTT ms,Post-recovery RTT ms,Pre-failure jitter ms,Post-recovery jitter ms,Transient packet loss %,Post-recovery steady-state packet loss %,Affected ODs,Rule count,Changed rules,Unchanged rules,Added rules,Removed rules,Modified rules,Install ms,Initial install ms,Incremental install ms,Recovery ms,Controller pipeline ms,Controller decision ms,Legacy controller response ms,Disconnected ODs,Run count,Mode,Rerun on FIX1,Measurement note,Controller timing note,Post-failure bottleneck capacity Mbps,Rate cap used,P95 Offered UDP rate Mbps,P95 Pre-failure throughput Mbps,P95 Post-recovery throughput Mbps,P95 Pre-failure RTT ms,P95 Post-recovery RTT ms,P95 Pre-failure jitter ms,P95 Post-recovery jitter ms,P95 Transient packet loss %,P95 Post-recovery steady-state packet loss %,P95 Changed rules,P95 Unchanged rules,P95 Added rules,P95 Removed rules,P95 Modified rules,P95 Install ms,P95 Initial install ms,P95 Incremental install ms,P95 Recovery ms,P95 Controller pipeline ms,P95 Controller decision ms,P95 Legacy controller response ms
abilene,single_link_failure,16.684,17.44,17.484,0.092,0.095,0.024,0.017,0.0,0.0,9.8,20.4,1.6,19.8,0.0,1.0,0.6,104.88,764.353,104.88,120.901,104.798,0.121,211.544,0,5,live,yes,"Incremental recovery kept the controller warm, preserved unaffected switches, used precomputed backup paths, applied one batched replace-flows update per changed switch, and separated transient loss from post-recovery steady-state QoS. Fast-failover groups were not enabled in this harness; backup-path rules on downstream switches were preinstalled before failure, and only divergence-point changes were left for post-failure incremental updates.","Failure row: Controller decision ms measures the live event-path lookup/handoff only because the RG-GNN-LPD backup decision was precomputed on a warmed controller before the fault. Legacy controller response ms retains the warm scorer/DDQN/routing cycle for diagnostic comparison only. Controller pipeline ms adds rule-diff construction and OpenFlow programming, and excludes probe waiting and logging.",550.0,0.45,25.389,26.472,26.622,0.099,0.105,0.05,0.024,0.0,0.0,3.0,26.8,0.0,2.0,1.0,220.664,1142.638,220.664,242.905,220.529,0.174,279.971
geant,normal,154.282,160.72,160.72,0.088,0.088,0.017,0.017,0.0,0.1558,0.0,20.6,9.2,13.6,6.2,2.2,0.8,259.665,259.665,1.414,0.0,1031.645,772.216,772.216,0,5,live,yes,"Incremental recovery kept the controller warm, preserved unaffected switches, used precomputed backup paths, applied one batched replace-flows update per changed switch, and separated transient loss from post-recovery steady-state QoS.","Normal/scaled-steady-state row: Controller decision ms includes state snapshot, GNN-LPD scorer/ranking, DDQN inference, and routing selection only. Controller pipeline ms adds rule-diff construction and OpenFlow programming. Probe waiting, logging, CSV writing, controller boot, and Mininet startup are excluded.",1000.0,0.6,159.847,166.62,166.62,0.093,0.093,0.02,0.02,0.0,0.312,18.4,19.4,17.2,5.6,2.0,412.404,412.404,1.699,0.0,1400.65,1027.581,1027.581
geant,single_link_failure,149.908,153.62,147.72,0.089,0.137,0.028,0.551,2.6067,1.0724,37.4,17.6,1.2,17.2,0.0,0.8,0.4,59.888,299.942,59.888,155.591,59.981,0.194,740.659,0,5,live,yes,"Incremental recovery kept the controller warm, preserved unaffected switches, used precomputed backup paths, applied one batched replace-flows update per changed switch, and separated transient loss from post-recovery steady-state QoS. Fast-failover groups were not enabled in this harness; backup-path rules on downstream switches were preinstalled before failure, and only divergence-point changes were left for post-failure incremental updates.","Failure row: Controller decision ms measures the live event-path lookup/handoff only because the RG-GNN-LPD backup decision was precomputed on a warmed controller before the fault. Legacy controller response ms retains the warm scorer/DDQN/routing cycle for diagnostic comparison only. Controller pipeline ms adds rule-diff construction and OpenFlow programming, and excludes probe waiting and logging.",1000.0,0.45,183.828,185.24,188.98,0.097,0.302,0.066,2.0,6.5933,4.054,4.8,20.0,0.0,3.2,1.6,234.962,787.14,234.962,332.169,235.019,0.331,1016.973
geant,two_link_failure,149.908,146.46,153.86,0.097,0.093,0.013,2.098,2.3933,0.3806,60.0,17.6,1.4,17.0,0.2,0.8,0.4,94.613,240.379,94.613,176.299,94.706,0.258,1668.395,0,5,live,yes,"Incremental recovery kept the controller warm, preserved unaffected switches, used precomputed backup paths, applied one batched replace-flows update per changed switch, and separated transient loss from post-recovery steady-state QoS.","Failure row: Controller decision ms measures the live event-path lookup/handoff only because the RG-GNN-LPD backup decision was precomputed on a warmed controller before the fault. Legacy controller response ms retains the warm scorer/DDQN/routing cycle for diagnostic comparison only. Controller pipeline ms adds rule-diff construction and OpenFlow programming, and excludes probe waiting and logging.",1000.0,0.45,183.828,179.9,184.72,0.111,0.098,0.021,8.352,5.6467,0.7987,5.6,20.0,0.8,3.2,1.6,373.113,819.261,373.113,431.166,373.096,0.352,2861.629
geant,capacity_degradation_50,161.035,166.64,160.92,0.095,0.099,0.014,0.031,1.3236,0.7896,441.6,21.2,0.0,21.2,0.0,0.0,0.0,3.302,1012.376,3.302,24.153,3.049,0.44,1379.455,0,5,live,yes,"Incremental recovery kept the controller warm, preserved unaffected switches, used precomputed backup paths, applied one batched replace-flows update per changed switch, and separated transient loss from post-recovery steady-state QoS.","Failure row: Controller decision ms measures the live event-path lookup/handoff only because the RG-GNN-LPD backup decision was precomputed on a warmed controller before the fault. Legacy controller response ms retains the warm scorer/DDQN/routing cycle for diagnostic comparison only. Controller pipeline ms adds rule-diff construction and OpenFlow programming, and excludes probe waiting and logging.",500.0,0.45,183.572,190.48,170.34,0.102,0.108,0.017,0.055,3.8934,2.0566,0.0,23.0,0.0,0.0,0.0,6.155,1371.049,6.155,26.759,4.348,0.547,2320.717
geant,spike_x3,501.471,524.18,524.18,0.085,0.085,0.011,0.011,0.0,0.1295,0.0,20.6,18.8,10.8,9.0,9.0,0.8,674.226,674.226,1.647,0.0,1582.682,908.82,908.82,0,5,live,yes,"Incremental recovery kept the controller warm, preserved unaffected switches, used precomputed backup paths, applied one batched replace-flows update per changed switch, and separated transient loss from post-recovery steady-state QoS.","Normal/scaled-steady-state row: Controller decision ms includes state snapshot, GNN-LPD scorer/ranking, DDQN inference, and routing selection only. Controller pipeline ms adds rule-diff construction and OpenFlow programming. Probe waiting, logging, CSV writing, controller boot, and Mininet startup are excluded.",1000.0,0.6,565.311,592.6,592.6,0.089,0.089,0.017,0.017,0.0,0.1954,27.2,16.0,13.6,13.6,2.0,912.475,912.475,2.086,0.0,1826.585,943.397,943.397
geant,mixed_spike_failure,386.008,404.0,402.8,0.092,0.084,0.011,0.008,1.0886,0.1405,41.8,15.2,2.8,14.0,0.4,1.6,0.8,134.966,511.181,134.966,148.856,135.526,0.766,946.857,0,5,live,yes,"Incremental recovery kept the controller warm, used precomputed backup paths, preserved unaffected switches, and applied one batched replace-flows update per changed switch. For mixed spike+failure, the link failure was injected first, stable probes were reached, and spike traffic was applied 400 ms later as a post-convergence stress step.","Failure row: Controller decision ms measures the live event-path lookup/handoff only because the RG-GNN-LPD backup decision was precomputed on a warmed controller before the fault. Legacy controller response ms retains the warm scorer/DDQN/routing cycle for diagnostic comparison only. Controller pipeline ms adds rule-diff construction and OpenFlow programming, and excludes probe waiting and logging.",1000.0,0.45,551.482,578.0,575.4,0.114,0.091,0.021,0.01,2.7942,0.3183,7.0,20.0,1.0,4.0,2.0,338.572,874.037,338.572,344.33,338.632,1.901,1004.126
