epoch,acc
464,0.7316
465,0.7567
466,0.756
467,0.752
468,0.7582
469,0.7552
470,0.7527
471,0.7413
472,0.7741
473,0.7659
474,0.775
475,0.7552
476,0.7465
477,0.7309
478,0.7376
479,0.7612
480,0.7639
481,0.7778
482,0.7555
483,0.7731
484,0.7589
485,0.7626
486,0.7736
487,0.75
488,0.7676
489,0.7579
490,0.7656
491,0.7728
492,0.7654
493,0.7619
494,0.7413
495,0.7599
496,0.7547
497,0.7599
498,0.754
499,0.7669
500,0.7569
