topology,tm_index,action,selected_k,num_non_ecmp_ods_current,PR,DB,decision_time_ms
abilene,2089,EMERGENCY,50,50,1.0,0.0021215481404324,19.8
abilene,2090,EMERGENCY,50,50,1.0,0.0085517533270696,16.7
abilene,2091,EMERGENCY,50,50,1.0,0.0009670875289611,17.5
abilene,2092,EMERGENCY,50,50,1.0,0.0008671313584958,16.5
abilene,2093,EMERGENCY,50,50,1.0,0.0023489844876738,16.6
abilene,2094,EMERGENCY,50,50,0.9999999999999998,0.0084196846671186,16.1
abilene,2095,EMERGENCY,50,50,0.9999999999999998,0.0080031738437176,16.9
abilene,2096,EMERGENCY,50,50,1.0,0.0019991014399846,16.3
abilene,2097,EMERGENCY,50,50,0.9999999999999998,0.0026556795058073,17.0
abilene,2098,EMERGENCY,50,50,0.9999999999999998,0.0053990034329757,17.9
abilene,2099,EMERGENCY,50,50,1.0,0.0081697262882718,15.9
abilene,2100,EMERGENCY,50,50,0.9999999999999996,0.0078886111970634,16.7
abilene,2101,EMERGENCY,50,50,0.9988147592603376,0.0084972404743177,16.8
abilene,2102,EMERGENCY,50,50,0.9618411761214984,0.0249517763800322,18.8
abilene,2103,EMERGENCY,50,50,0.979134609698897,0.0092584292107095,17.8
abilene,2104,EMERGENCY,50,50,0.9819957195069714,0.0238500511218719,18.3
abilene,2105,EMERGENCY,50,50,0.9758158819228394,0.0042248944155274,19.3
abilene,2106,EMERGENCY,50,50,0.9774550347341469,0.0067882031237252,18.7
abilene,2107,EMERGENCY,50,50,0.9846792575216928,0.0161243546299692,19.9
abilene,2108,EMERGENCY,50,50,0.9771935899871756,0.0149408492549795,17.2
abilene,2109,EMERGENCY,50,50,0.9796354122925506,0.0114301859299065,18.5
abilene,2110,EMERGENCY,50,50,0.9838877984081452,0.0108075734315713,17.1
abilene,2111,EMERGENCY,50,50,0.971847089937913,0.0211942517246141,17.0
abilene,2112,EMERGENCY,50,50,0.973125604237434,0.003660181207708,18.2
abilene,2113,EMERGENCY,50,50,0.9733128883197566,0.0113190315082949,19.3
abilene,2114,EMERGENCY,50,50,0.9734883351978892,0.0033974732675494,20.0
abilene,2115,EMERGENCY,50,50,0.9769457726571236,0.0127409439783329,18.7
abilene,2116,EMERGENCY,50,50,0.9798573698821196,0.0190135304023719,18.6
abilene,2117,EMERGENCY,50,50,0.9810876211776456,0.0045542125669559,18.3
abilene,2118,EMERGENCY,50,50,0.9820828260384608,0.010042224756841,18.6
abilene,2119,EMERGENCY,50,50,0.9719368317165948,0.0110382262564138,18.8
abilene,2120,EMERGENCY,50,50,0.9468165780912854,0.0336740432084754,19.2
abilene,2121,EMERGENCY,50,50,0.9588038240100608,0.0043718503918787,17.6
abilene,2122,EMERGENCY,50,50,0.9579311924313958,0.0138139929286109,19.3
abilene,2123,EMERGENCY,50,50,0.964057105331436,0.007968601174515,17.3
abilene,2124,EMERGENCY,50,50,0.9761247727452282,0.0015784387735616,16.7
abilene,2125,EMERGENCY,50,50,0.9778586933327544,0.001320352419145,17.1
abilene,2126,EMERGENCY,50,50,0.992331300641719,0.0029492186477443,17.1
abilene,2127,EMERGENCY,50,50,0.9905065641243044,0.0138238517631722,17.1
abilene,2128,EMERGENCY,50,50,0.9976860812303456,0.0089445617406875,17.1
abilene,2129,EMERGENCY,50,50,0.9738551553944031,0.0107232712164155,17.8
abilene,2130,EMERGENCY,50,50,0.9752248965720344,0.0038237603440653,19.2
abilene,2131,EMERGENCY,50,50,0.9702972342338448,0.0037106221926825,17.6
abilene,2132,EMERGENCY,50,50,0.9819930272955804,0.0342638295201896,18.0
abilene,2133,EMERGENCY,50,50,0.965528899076788,0.0140741893411408,17.7
abilene,2134,EMERGENCY,50,50,1.0,0.0203696919737568,18.9
abilene,2135,EMERGENCY,50,50,1.0,0.0073593445446388,20.3
abilene,2136,EMERGENCY,50,50,1.0,0.0006538034386168,18.2
abilene,2137,EMERGENCY,50,50,0.998633384534071,0.0189807156962536,18.0
abilene,2138,EMERGENCY,50,50,1.0,0.0023829693750355,17.1
abilene,2139,EMERGENCY,50,50,0.9856016185230324,0.0111581303121314,16.3
abilene,2140,EMERGENCY,50,50,0.9601199046991562,0.0076666344544298,17.1
abilene,2141,EMERGENCY,50,50,0.9986641694866816,0.0592254887523791,16.9
abilene,2142,EMERGENCY,50,50,1.0,0.0022196505984757,16.1
abilene,2143,EMERGENCY,50,50,0.9999999999999998,0.0036959706135543,16.4
abilene,2144,EMERGENCY,50,50,0.9824545402936916,0.0233471412860973,17.8
abilene,2145,EMERGENCY,50,50,1.0,0.021015801212048,17.3
abilene,2146,EMERGENCY,50,50,0.9987026169926234,0.0147136113163527,16.2
abilene,2147,EMERGENCY,50,50,0.9965582023174706,0.0022912375436795,17.9
abilene,2148,EMERGENCY,50,50,0.9757743669216068,0.0381277852100037,20.9
abilene,2149,EMERGENCY,50,50,0.9999999999999998,0.0444517533834734,17.5
abilene,2150,EMERGENCY,50,50,0.9976461524614232,0.0202988740486445,16.4
abilene,2151,EMERGENCY,50,50,1.0,0.0027561973204751,17.5
abilene,2152,EMERGENCY,50,50,0.999137809829653,0.0041194010570647,19.5
abilene,2153,EMERGENCY,50,50,1.0,0.0093442120133973,17.5
abilene,2154,EMERGENCY,50,50,1.0,0.0060272165953097,17.0
abilene,2155,EMERGENCY,50,50,1.0,0.0072461216577924,16.2
abilene,2156,EMERGENCY,50,50,1.0,0.0070519194618641,18.7
abilene,2157,EMERGENCY,50,50,1.0,0.0004067406349793,17.3
abilene,2158,EMERGENCY,50,50,1.0,0.0029168100090547,18.7
abilene,2159,EMERGENCY,50,50,1.0,0.0054280015590574,20.2
abilene,2160,EMERGENCY,50,50,1.0,0.0005507594203031,17.3
abilene,2161,EMERGENCY,50,50,0.9661496570449444,0.0214223738804761,18.9
abilene,2162,EMERGENCY,50,50,0.9983046179556792,0.0149322210108399,18.0
