action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,75,1400,3,8,240,1400,1892,1.0,0.8358225831675493,0.00026419973200651444,252.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,241,1400,1892,1.0,0.8321263666900097,0.0007332209649332673,379.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,242,1400,1892,1.0,0.8258361967093147,0.0006173283989235749,228.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,243,1400,1892,0.9999999999999999,0.8012550442332338,0.00030453565248139214,287.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,244,1400,1892,1.0,0.8013226361331085,0.0002427029696341363,233.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,245,1400,1892,0.9999999999999999,0.7970698553233817,0.0005610496557440223,227.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,246,1400,1892,0.9999999999999997,0.7690228748615551,0.001189081500798287,305.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,247,1400,1892,1.0,0.7555224361497866,0.0003610477091731881,227.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,248,1400,1892,1.0,0.7412224142154725,0.0006057209536307631,282.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,249,1400,1892,1.0,0.7324337495345787,0.00032761039234962955,252.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,250,1400,1892,1.0,0.6959039901793349,3.512369171647671e-05,301.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,251,1400,1892,1.0,0.6852204686871363,0.000492583252589173,232.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,252,1400,1892,0.9999999999999998,0.6652913202213822,0.0005784312467707033,306.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,253,1400,1892,0.9964361646435057,0.6505234236491546,0.0003664396118228241,243.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,254,1400,1892,0.9968271862682945,0.645097884476439,0.00027127096293858786,240.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,255,1400,1892,0.9968656731809906,0.6361521049954004,0.00017718208784907343,447.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,256,1400,1892,0.9967537043045596,0.621951621884513,0.0006556306844955192,237.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,257,1400,1892,0.9967200758908642,0.6182856182505955,0.0007597116061087549,368.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,258,1400,1892,0.9969937952925978,0.6061628618803753,0.0005468441475089131,228.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,259,1400,1892,0.996732451799642,0.6026372416148926,0.00033524952286369676,285.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,260,1400,1892,0.9965193001449089,0.5890510284504322,0.0005796253333437244,234.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,261,1400,1892,0.9962583062710993,0.5833291259716749,5.588234366154518e-06,230.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,262,1400,1892,0.9967473227454899,0.5895988821383579,0.0004261131951527487,279.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,263,1400,1892,0.9962504171986665,0.5848407422149416,0.00034419787468614743,233.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,264,1400,1892,0.997380413863588,0.5947207092670446,0.00023967830959730271,305.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,265,1400,1892,0.9967099770361243,0.5805142131476367,0.000576462220494324,230.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,266,1400,1892,1.0,0.5745744047746286,0.0007152438403843689,346.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,267,1400,1892,1.0,0.5728923862413674,0.0006542674914011841,232.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,268,1400,1892,0.9963065041053668,0.5679468234048514,0.0002906523796559099,284.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,269,1400,1892,0.9964210351175901,0.5732887161034285,1.247762138124513e-05,234.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,270,1400,1892,1.0,0.5641050718919689,0.0004161384191751997,232.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,271,1400,1892,0.9960204320882741,0.5844551936360227,0.0009301814459228623,383.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,272,1400,1892,0.9961374050953581,0.5769745455525978,0.0008851039521502184,232.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,273,1400,1892,1.0,0.5804139320247457,0.0006334163472875705,287.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,274,1400,1892,0.9961828005179613,0.5879238542372366,0.0008138463948022605,229.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,275,1400,1892,0.9961055901842365,0.593836606119749,0.0004453547313212508,289.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,276,1400,1892,0.9960611099986403,0.596597262079392,0.00031928572791973284,230.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,277,1400,1892,0.9962159787219184,0.6119995256192678,0.0006196327521372557,282.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,278,1400,1892,0.9999999999999998,0.5994459891059032,0.0009825811223677066,231.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,279,1400,1892,0.9999999999999997,0.6066017605733305,0.00035209192151585273,228.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,280,1400,1892,1.0,0.6153806061023063,0.0002509083089073175,281.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,281,1400,1892,0.9999999999999998,0.6346930500004798,0.0005138093389576626,230.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,282,1400,1892,1.0,0.6459429296903438,0.0005245676233410139,282.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,283,1400,1892,1.0,0.6533928112995754,0.0007871946600611193,255.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,284,1400,1892,1.0,0.6733812199613918,0.00044041882498662923,423.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,285,1400,1892,0.9999999999999999,0.6883878693166802,0.0005921380473214243,245.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,286,1400,1892,0.9999999999999997,0.6931420538710896,0.0003159859911078153,240.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,287,1400,1892,1.0,0.7297604877843576,0.0002685751295765769,402.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,288,1400,1892,1.0,0.7194541391831064,0.00048623839423093463,233.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,289,1400,1892,0.9999999999999999,0.7342373726933155,0.0004367589291719879,315.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,290,1400,1892,1.0,0.7311048846237109,0.00030008410890128496,231.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,291,1400,1892,1.0,0.7415534053418965,0.0008919480541405621,290.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,75,1400,3,8,292,1400,1892,1.0,0.7597584723503633,0.0004119574403942696,259.7,True,0,1,ECMP,1,1,0
